Brand,Date,District,Engine_capacity,Engine_power,From_who,Fuel_type,Gear_type,Kilometer,Model,Model_year,Price,Title,Variant
Chrysler,27/12/2020,Beylikdüzü/Beylikdüzü,2501-3000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,221000,300 C,2009,215000,2009 CHRYSLER 300C 3.0 CRD 218 HP 221 BİN KM  TRAMERSIZ Chrysler 300 C 3.0 CRD,3.0 CRD
Dodge,03/12/2020,Büyükçekmece/Büyükçekmece,2501-3000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,213000,Nitro,2008,172000,2008 DODGE NİTRO 2.8 CRD SXT 4x4 DERi SUNROOF Dodge Nitro 2.8 CRD SXT,2.8 CRD SXT
Fiat,19/02/2021,Altındağ/Altındağ,1300 cc ve altı,100 BG ve altı,Galeriden,Dizel,Düz Vites,172600,Linea,2014,87700,OTTOHAN DAN 2014 FİAT LİNEA 1.3 MULTİJET POP DEĞİŞEN-SÖK-TAK YOK,1.3 Multijet Pop
Alfa Romeo,24/01/2021,Seyhan/Yeşiloba,1801-2000 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,13000,Stelvio,2018,875000,2018 STELVİO KIRMIZI DERİ ŞERİT TAKİP DNA SÜRÜŞ BOYASIZ HATASIZ Alfa Romeo Stelvio Stelvio 2.0,Diğer
BMW,15/02/2021,Esenyurt/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,108000,3 Serisi,2016,359950,2016 BMW 320İ ED M PLUS 108.000 KM DE SERVİS BAKIMLI BMW 3 Serisi 320i ED M Plus,320i ED M Plus
BMW,15/02/2021,Seyhan/Yeşiloba,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,255000,3 Serisi,2010,209900,2010 PREMİUM IŞIK LCİ 177 SANROF HATASIZ-KAYITSIZ-KREDİ İMKANI BMW 3 Serisi 320d Premium,320d Premium
BMW,15/02/2021,,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,110000,1 Serisi,2015,299500,UĞUR OTO 2015 BMW 1.16d M PLUS SUNROOF XENON GERİ.GÖRÜŞ BOYASIZ BMW 1 Serisi 116d M Plus,116d M Plus
BMW,15/02/2021,,1801-2000 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,172000,3 Serisi,2010,204000,UĞUROTO 2010 BMW 3.20İ COUPE LCİ MAKYAJLI M PAKET XENON DERİ LED BMW 3 Serisi 320i,320i
BMW,15/02/2021,,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,319000,5 Serisi,2008,162500,UĞUR OTO 2008 BMW SUNROOF DERİ ISITMA XENON ELK.PERDE CRUİSE BMW 5 Serisi 520d Premium,520d Premium
Chevrolet,13/02/2021,Merkez/Toptancılarsitesi,1801-2000 cc,151-175 BG,Galeriden,Dizel,Otomatik Vites,64475,Captiva,2012,248000,2012  CHEVROLET   CAPTİVA  2.0  LTZ   BOYASIZ -  HATASIZ  -  64475 KM  -  EMSALSIZ..............,2.0 D LTZ
Dacia,15/02/2021,Maltepe,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,110000,Duster,2017,158950,2017 DACİA DUSTER 1.5 dCİ 4X4 110 HP AMBİANCE 6 İLERİ Dacia Duster 1.5 dCi Ambiance,1.5 dCi Ambiance
Dacia,15/02/2021,Andırın/Andırın,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,108000,Sandero,2012,107500,HATASIZ BOYASIZ 108 bin km Dacia Stepway Dacia Sandero 1.5 dCi Stepway,1.5 dCi Stepway
BMW,15/02/2021,Darıca/Darıca,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,42000,5 Serisi,2015,760000,TARHANLAR-Bmw 525d xDrive Premium-Hayalet-Vakum BAYİİ-2015 BMW 5 Serisi 525d xDrive  Premium,525d xDrive  Premium
BMW,15/02/2021,Darıca/Darıca,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,238000,3 Serisi,2014,288000,TARHANLAR-BMW 320d Sport Line   M Direksiyon-S.O.S-ANINDA KREDİ- BMW 3 Serisi 320d Sport Line,320d Sport Line
BMW,15/02/2021,Darıca/Darıca,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,169000,3 Serisi,2012,294000,TARHANLAR-BMW 320d M Sport    M Direksiyon-NBT-Sunroff-Led Zenon BMW 3 Serisi 320d M Sport,320d M Sport
BMW,15/02/2021,Bağcılar/Bağcılar,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,99000,3 Serisi,2015,369000,PALA OTO   2015 SUNROOF NBT M3 BODY KİT NAVİ DERİ LED HATASIZ BMW 3 Serisi 320i ED M Plus,320i ED M Plus
BMW,15/02/2021,Bağcılar/Bağcılar,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,18000,1 Serisi,2019,397000,PALA OTO   2019 CAM TAVAN HAYALET E.BAGAJ G.GÖRÜŞ LED HATASIZ BMW 1 Serisi 116d First Edition Luxury Line,116d First Edition Luxury Line
Chevrolet,05/02/2021,Çarşamba/Çarşamba,1300 cc ve altı,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,271000,Aveo,2010,58500,MERMİ GİBİ AVEO 1.2 BENZİN LPG YAKIT PİNTİSİ Chevrolet Aveo 1.2 LS,1.2 LS
